ALARA 2.9.2
Schedule 'top_sched':
	schedule sch_1 pulse_history once delay 1 d 
		pulse_entry: 1 y pulse_history ph_1 delay 0 s
	schedule sch_2 pulse_history once delay 25 d 
		pulse_entry: 30 w pulse_history ph_2 delay 0 s
	schedule sch_3 pulse_history once delay 0 s 
		pulse_entry: 20 d pulse_history ph_3 delay 0 s
pulse_history: 'ph_1
num_pulsing_levels: 1
num_pulses_per_level: [1]
delay_seconds_per_level: [0]
pulse_history: 'ph_2
num_pulsing_levels: 1
num_pulses_per_level: [5]
delay_seconds_per_level: [300]
pulse_history: 'ph_3
num_pulsing_levels: 1
num_pulses_per_level: [10]
delay_seconds_per_level: [86400]
pulse_history: 'once
num_pulsing_levels: 1
num_pulses_per_level: [1]
delay_seconds_per_level: [0]
Zone output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]


*** Number Density [atoms/cm3] ***

Zone #1: zone_1
	Relative Volume: 10
	Containing mixture: mix_1

Total (All constituents) 
	COMPACTED
	Volume Fraction: 1	Relative Volume: 10
Number Density [atoms/cm3]
isotope  t_1/2(s)   pre-irrad   shutdown   
======================
h-1 	-1          0.0000e+00  2.0482e+20  
h-2 	-1          0.0000e+00  6.4441e+18  
h-3 	3.8911e+08  0.0000e+00  2.0062e+16  
he-3 	-1          0.0000e+00  2.5479e+15  
he-4 	-1          0.0000e+00  3.7321e+19  
k-43 	7.9920e+04  0.0000e+00  4.1915e-01  
k-44 	1.3278e+03  0.0000e+00  5.6637e+01  
k-45 	1.0400e+03  0.0000e+00  8.9225e+02  
k-46 	9.5000e+01  0.0000e+00  0.0000e+00  
k-47 	1.7500e+01  0.0000e+00  2.9767e-17  
ca-43 	-1          0.0000e+00  4.3124e+07  
ca-44 	-1          0.0000e+00  2.2606e+09  
ca-45 	1.4057e+07  0.0000e+00  1.6950e+10  
ca-46 	-1          0.0000e+00  1.3000e+10  
ca-47 	3.9208e+05  0.0000e+00  4.0850e+09  
ca-48 	-1          0.0000e+00  1.0088e+08  
ca-49 	5.2320e+02  0.0000e+00  0.0000e+00  
sc-45 	-1          0.0000e+00  3.9700e+10  
sc-45m	3.1600e-01  0.0000e+00  2.6068e-01  
sc-46 	7.2420e+06  0.0000e+00  1.8343e+09  
sc-46m	1.8700e+01  0.0000e+00  1.2715e+03  
sc-47 	2.8909e+05  0.0000e+00  3.6262e+10  
sc-48 	1.5721e+05  0.0000e+00  1.2371e+12  
sc-49 	3.4320e+03  0.0000e+00  6.6786e+06  
sc-50 	1.0250e+02  0.0000e+00  2.1735e+06  
sc-50m	3.5000e-01  0.0000e+00  2.9298e+03  
ti-46 	-1          0.0000e+00  1.0068e+11  
ti-47 	-1          0.0000e+00  1.3702e+13  
ti-48 	-1          0.0000e+00  4.4330e+14  
ti-49 	-1          0.0000e+00  2.6357e+14  
ti-50 	-1          0.0000e+00  1.2052e+16  
ti-51 	3.4800e+02  0.0000e+00  1.5911e+10  
ti-52 	1.0200e+02  0.0000e+00  4.9995e+00  
ti-53 	3.2700e+01  0.0000e+00  0.0000e+00  
v-48 	1.3802e+06  0.0000e+00  1.5949e+09  
v-49 	2.8512e+07  0.0000e+00  4.7513e+13  
v-50 	4.7000e+24  0.0000e+00  3.0730e+16  
v-51 	-1          0.0000e+00  4.5584e+18  
v-52 	2.2470e+02  0.0000e+00  1.5558e+11  
v-53 	9.7200e+01  0.0000e+00  1.6063e+10  
v-54 	4.9800e+01  0.0000e+00  1.4899e+09  
cr-49 	2.5140e+03  0.0000e+00  5.0838e+07  
cr-50 	-1          0.0000e+00  2.0421e+16  
cr-51 	2.3938e+06  0.0000e+00  1.1087e+17  
cr-52 	-1          0.0000e+00  8.9394e+17  
cr-53 	-1          0.0000e+00  3.1514e+19  
cr-54 	-1          0.0000e+00  1.9026e+19  
cr-55 	2.1240e+02  0.0000e+00  2.7638e+11  
cr-56 	3.5600e+02  0.0000e+00  2.4664e+06  
cr-57 	2.1100e+01  0.0000e+00  5.7028e+01  
cr-58 	7.0000e+00  0.0000e+00  7.4084e-14  
mn-51 	2.7720e+03  0.0000e+00  3.2770e+06  
mn-52 	4.8310e+05  0.0000e+00  2.4094e+14  
mn-52m	1.2660e+03  0.0000e+00  1.6153e+11  
mn-53 	1.1668e+14  0.0000e+00  3.6374e+19  
mn-54 	2.6983e+07  0.0000e+00  6.5505e+18  
mn-55 	-1          0.0000e+00  1.7798e+20  
mn-56 	9.2844e+03  0.0000e+00  9.7020e+15  
mn-57 	9.6600e+01  0.0000e+00  1.6745e+12  
mn-58 	6.5300e+01  0.0000e+00  2.2944e+10  
mn-58m	3.0000e+00  0.0000e+00  4.7357e+08  
mn-59 	4.6000e+00  0.0000e+00  3.6987e+04  
mn-60 	1.7900e+00  0.0000e+00  6.2006e+00  
fe-53 	5.1060e+02  0.0000e+00  1.6544e+12  
fe-53m	1.5480e+02  0.0000e+00  0.0000e+00  
fe-54 	-1          4.9989e+20  4.9278e+21  
fe-55 	8.6314e+07  0.0000e+00  1.8830e+20  
fe-56 	-1          7.7711e+21  7.7294e+22  
fe-57 	-1          1.7793e+20  1.8024e+21  
fe-58 	-1          2.3723e+19  2.3718e+20  
fe-59 	3.8450e+06  0.0000e+00  8.2074e+15  
fe-60 	2.3700e+14  0.0000e+00  6.3867e+12  
fe-61 	3.5880e+02  0.0000e+00  2.8770e+03  
co-56 	6.6787e+06  0.0000e+00  1.4535e+07  
co-57 	2.3483e+07  0.0000e+00  9.5158e+10  
co-58 	6.1223e+06  0.0000e+00  8.3706e+13  
co-58m	3.2184e+04  0.0000e+00  2.7440e+11  
co-59 	-1          0.0000e+00  2.0780e+17  
co-60 	1.6636e+08  0.0000e+00  2.5085e+14  
co-60m	6.2820e+02  0.0000e+00  2.3154e+09  
co-61 	5.9400e+03  0.0000e+00  8.1279e+06  
ni-58 	-1          0.0000e+00  1.6908e+07  
ni-59 	2.3984e+12  0.0000e+00  4.9639e+10  
ni-60 	-1          0.0000e+00  5.2059e+13  
ni-61 	-1          0.0000e+00  6.2912e+10  
ni-62 	-1          0.0000e+00  1.4818e+07  
======================
total   0           8.4726e+21  8.4975e+22  

Totals for all zones.
Number Density [atoms/cm3]
zone	 shutdown   
======================
1	8.4975e+22  	zone_1 (mix_1)
======================





