ALARA 2.9.2
Set verbose level to 2.
Opened tree file output/sample2.tree.
	Opened sample2 for input.
Starting problem input processing.
	Reading input.
	Cross-checking input for completeness and self-consistency.


***Please review this schedule hierarchy.!!!!!!!!!!

Schedule '1_year':
	pulse: 1 y with 0 s delay pulsed with history steady_state

***End of schedule hierarchy.


	Preprocessing input.
Starting problem solution.
	Solved problem.
	Reset binary dump with 5 results per isotope.
Interval output requested:
	Response Units: Bq /cm3
	Number Density [atoms/cm3]
	Specific Activity [Bq/cm3]


*** Number Density [atoms/cm3] ***

Interval #1 (Zone: inner_zone) :
	Relative Volume: 5
	Containing mixture: inner_mix

Total (All constituents) 
	COMPACTED
	Volume Fraction: 1	Relative Volume: 5
Number Density [atoms/cm3]
isotope	 shutdown         1 d       100 d         1 y       100 y   
====================================================================
h-1 	6.7540e+21  6.7540e+21  6.7540e+21  6.7540e+21  6.7540e+21  
h-2 	1.6197e+19  1.6197e+19  1.6197e+19  1.6197e+19  1.6197e+19  
h-3 	4.0814e+21  4.0808e+21  4.0191e+21  3.8590e+21  1.5056e+19  
he-3 	2.4155e+19  2.4783e+19  8.6492e+19  2.4652e+20  4.0905e+21  
he-4 	4.1400e+21  4.1400e+21  4.1400e+21  4.1400e+21  4.1400e+21  
he-6 	5.5847e+10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
li-6 	1.0405e+21  1.0405e+21  1.0405e+21  1.0405e+21  1.0405e+21  
li-7 	6.2063e+22  6.2063e+22  6.2063e+22  6.2063e+22  6.2063e+22  
li-8 	1.8290e+11  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
be-8 	2.7719e-05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
be-9 	2.6007e+21  2.6007e+21  2.6007e+21  2.6007e+21  2.6007e+21  
be-10 	4.0359e+16  4.0359e+16  4.0359e+16  4.0359e+16  4.0358e+16  
be-11 	6.8140e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
b-10 	2.4597e+12  2.4597e+12  2.4597e+12  2.4597e+12  2.4597e+12  
b-11 	9.8204e+14  9.8204e+14  9.8204e+14  9.8204e+14  9.8204e+14  
b-12 	3.6935e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
b-13 	4.3406e+04  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
c-12 	3.3757e+18  3.3757e+18  3.3757e+18  3.3757e+18  3.3757e+18  
c-13 	2.4239e+18  2.4239e+18  2.4239e+18  2.4239e+18  2.4239e+18  
c-14 	7.3594e+15  7.3594e+15  7.3592e+15  7.3585e+15  7.2712e+15  
c-15 	5.6874e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-13 	8.6362e+08  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-14 	1.5989e+18  1.5989e+18  1.5989e+18  1.5989e+18  1.5990e+18  
n-15 	1.6126e+18  1.6126e+18  1.6126e+18  1.6126e+18  1.6126e+18  
n-16 	7.6127e+11  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-17 	4.1165e+07  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
n-18 	3.3376e+05  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
o-16 	3.3345e+21  3.3345e+21  3.3345e+21  3.3345e+21  3.3345e+21  
o-17 	1.5857e+18  1.5857e+18  1.5857e+18  1.5857e+18  1.5857e+18  
o-18 	9.9343e+18  9.9346e+18  9.9346e+18  9.9346e+18  9.9346e+18  
o-19 	8.4078e+11  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
f-18 	2.9082e+14  3.2515e+10  0.0000e+00  0.0000e+00  0.0000e+00  
f-19 	7.4423e+21  7.4423e+21  7.4423e+21  7.4423e+21  7.4423e+21  
f-20 	8.4768e+10  0.0000e+00  0.0000e+00  0.0000e+00  0.0000e+00  
