,Parent KZA,Daughter KZA,Emitted Particles,Non-Zero Groups,Cross Sections
0,821900,821900,n,71,"[1.230997, 1.548273, 1.6427, 1.7709, 1.942998, 1.987434, 2.021295, 2.051197, 2.076811, 2.100827, 2.133171, 2.15049, 2.162615, 2.165794, 2.152958, 2.123733, 2.075474, 2.011734, 1.93185, 1.836786, 1.732084, 1.612691, 1.483155, 1.336402, 1.231846, 1.143474, 0.9778195, 0.7524202, 0.5038884, 0.288983, 0.1000949, 0.07735811, 0.08011699, 0.08436379, 0.08980541, 0.09479075, 0.09824221, 0.1005526, 0.1029548, 0.1055142, 0.1083313, 0.1113727, 0.1140019, 0.1153643, 0.1159413, 0.1167958, 0.1184719, 0.1212375, 0.1245736, 0.127683, 0.1304954, 0.1327788, 0.1338632, 0.1346897, 0.1338384, 0.1325579, 0.1302757, 0.1248264, 0.1194334, 0.112193, 0.1025927, 0.09726395, 0.09076805, 0.08297605, 0.07298788, 0.06065142, 0.04630726, 0.02846503, 0.02387611, 0.0147488, 0.0009048281]"
1,821900,811870,2nd,1,[6.29252e-19]
2,821900,821890,2n,15,"[0.638974, 0.4095109, 0.3431718, 0.2542857, 0.140295, 0.112035, 0.09096509, 0.07280851, 0.0580161, 0.04413622, 0.0252299, 0.01513569, 0.007021984, 0.001530554, 0.000101486]"
3,821900,821880,3n,1,[4.220304e-05]
4,821900,801860,nα,175,"[0.02407014, 0.01527991, 0.0130982, 0.01025351, 0.006477606, 0.005483877, 0.004717798, 0.004053958, 0.00351252, 0.003007944, 0.002331211, 0.001966741, 0.001647795, 0.001327172, 0.001095425, 0.0009240006, 0.0007890539, 0.0006853338, 0.0006024789, 0.000534789, 0.0004764843, 0.0004230399, 0.0003745147, 0.0003238624, 0.0002897595, 0.0002620107, 0.0002122544, 0.000148282, 8.057069e-05, 2.397586e-05, 1.851642e-06, 3.057849e-07, 1.409868e-07, 6.665795e-08, 2.209768e-08, 7.230526e-09, 3.072909e-09, 1.557067e-09, 7.78159e-10, 4.96209e-10, 3.55192e-10, 2.48667e-10, 1.71022e-10, 1.38902e-10, 1.28815e-10, 1.13877e-10, 8.45725e-11, 4.59972e-11, 2.3171e-11, 8.77953e-12, 6.87393e-12, 5.47679e-12, 4.42657e-12, 3.45654e-12, 2.67379e-12, 1.96921e-12, 1.35768e-12, 9.54793e-13, 5.84246e-13, 2.79269e-13, 1.84174e-13, 8.21704e-14, 1.17922e-14, 4.87383e-15, 8.12865e-17, 1.00001e-20, 1.00001e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
5,821900,801850,2nα,32,"[2.599507e-05, 4.285519e-06, 2.446712e-06, 1.015362e-06, 1.694895e-07, 9.52993e-08, 6.2544e-08, 4.254819e-08, 2.69402e-08, 1.571256e-08, 8.241484e-09, 4.585366e-09, 2.153978e-09, 5.93658e-10, 5.04832e-10, 4.60774e-10, 4.17876e-10, 3.7813e-10, 3.40316e-10, 3.04339e-10, 2.70113e-10, 2.37554e-10, 2.06579e-10, 1.77109e-10, 1.58549e-10, 1.44702e-10, 1.22404e-10, 9.70319e-11, 7.28948e-11, 4.99351e-11, 2.80941e-11, 7.49063e-12]"
6,821900,801840,3nα,11,"[1.3245e-16, 3.60696e-20, 3.26144e-20, 2.76029e-20, 1.90362e-20, 1.61113e-20, 1.34479e-20, 1.07594e-20, 8.14559e-21, 5.35628e-21, 6.68788e-22]"
7,821900,811890,np,38,"[0.3581051, 0.2879322, 0.2602317, 0.2185482, 0.1509086, 0.1298276, 0.1127439, 0.09711783, 0.0832894, 0.07000227, 0.05136527, 0.04054896, 0.03044354, 0.02021197, 0.01281317, 0.007794789, 0.00446647, 0.002437377, 0.001252435, 0.0005950868, 0.0002612157, 0.0001043315, 3.963271e-05, 1.452133e-05, 7.013361e-06, 4.136744e-06, 1.729363e-06, 6.166804e-07, 2.790631e-07, 1.117796e-07, 8.490781e-09, 6.15806e-13, 8.22015e-15, 9.38041e-16, 4.94921e-16, 2.55589e-16, 9.15006e-17, 7.45867e-18]"
8,821900,781820,n2α,175,"[3.102779e-07, 1.047808e-07, 7.542247e-08, 4.441598e-08, 1.51958e-08, 1.013424e-08, 6.958865e-09, 4.657531e-09, 3.180166e-09, 2.039074e-09, 9.42579e-10, 5.26002e-10, 2.79327e-10, 1.13891e-10, 4.62381e-11, 1.88015e-11, 7.58755e-12, 3.18924e-12, 1.38719e-12, 6.34608e-13, 3.14754e-13, 1.71646e-13, 1.05532e-13, 6.89013e-14, 5.25217e-14, 4.28347e-14, 2.94877e-14, 1.66607e-14, 7.33833e-15, 1.91844e-15, 1.90514e-17, 5.58485e-19, 1.96832e-19, 5.2026e-20, 1.04795e-20, 1.00002e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00005e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
9,821900,781810,2n2α,175,"[4.1238e-13, 7.33979e-15, 2.03473e-15, 4.33017e-16, 1.09102e-18, 2.19808e-19, 6.53287e-20, 2.1697e-20, 1.17598e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1e-20, 1.00001e-20, 1.00002e-20, 1.00002e-20, 1.00003e-20, 1.00003e-20, 1.00004e-20, 1.00004e-20, 1.00004e-20, 1.00005e-20, 1.00005e-20, 1.00005e-20, 1.00006e-20, 1.00006e-20, 1.00006e-20, 1.00007e-20, 1.00007e-20, 1.00007e-20, 1.00008e-20, 1.00008e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.00009e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.0001e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00011e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00012e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00013e-20, 1.00016e-20, 1.0006e-20, 1.00293e-20]"
