,Isotope,Parent KZA,Number of Reactions (FENDL2),Number of Reactions (FENDL3)
0,H-001,10010,1.0,1.0
1,H-002,10020,2.0,2.0
2,H-003,10030,2.0,1.0
3,He-003,20030,5.0,3.0
4,He-006,20060,1.0,0.0
5,Li-005,30050,2.0,0.0
6,Li-006,30060,8.0,14.0
7,Li-007,30070,7.0,15.0
8,Li-008,30080,1.0,0.0
9,Li-009,30090,2.0,0.0
10,Be-006,40060,2.0,0.0
11,Be-007,40070,5.0,25.0
12,Be-008,40080,1.0,0.0
13,Be-009,40090,10.0,11.0
14,Be-010,40100,8.0,20.0
15,Be-011,40110,2.0,18.0
16,B-008,50080,1.0,0.0
17,B-009,50090,2.0,0.0
18,B-010,50100,12.0,24.0
19,B-011,50110,10.0,18.0
20,B-012,50120,2.0,0.0
21,B-013,50130,2.0,0.0
22,C-009,60090,1.0,0.0
23,C-010,60100,1.0,21.0
24,C-011,60110,1.0,32.0
25,C-012,60120,8.0,16.0
26,C-013,60130,11.0,5.0
27,C-014,60140,9.0,17.0
28,C-015,60150,1.0,20.0
29,N-012,70120,1.0,0.0
30,N-013,70130,1.0,25.0
31,N-014,70140,14.0,40.0
32,N-015,70150,12.0,17.0
33,N-016,70160,2.0,25.0
34,N-017,70170,1.0,25.0
35,N-018,70180,1.0,0.0
36,O-014,80140,1.0,26.0
37,O-015,80150,1.0,29.0
38,O-016,80160,13.0,39.0
39,O-017,80170,13.0,18.0
40,O-018,80180,13.0,24.0
41,O-019,80190,1.0,26.0
42,O-020,80200,1.0,21.0
43,O-021,80210,0.0,16.0
44,O-022,80220,0.0,14.0
45,F-017,90170,1.0,33.0
46,F-018,90180,1.0,35.0
47,F-019,90190,14.0,19.0
48,F-020,90200,1.0,28.0
49,F-021,90210,1.0,23.0
50,F-022,90220,1.0,24.0
51,F-023,90230,1.0,22.0
52,Ne-018,100180,1.0,27.0
53,Ne-019,100190,1.0,32.0
54,Ne-020,100200,14.0,28.0
55,Ne-021,100210,14.0,28.0
56,Ne-022,100220,12.0,24.0
57,Ne-023,100230,1.0,23.0
58,Ne-024,100240,1.0,20.0
59,Ne-025,100250,1.0,0.0
60,Na-020,110200,1.0,0.0
61,Na-021,110210,1.0,33.0
62,Na-022,110220,14.0,35.0
63,Na-023,110230,15.0,27.0
64,Na-024,110240,17.0,27.0
65,Na-024m,110241,2.0,0.0
66,Na-025,110250,1.0,22.0
67,Na-026,110260,1.0,25.0
68,Na-027,110270,1.0,0.0
69,Na-028,110280,1.0,0.0
70,Mg-022,120220,1.0,24.0
71,Mg-023,120230,1.0,34.0
72,Mg-024,120240,15.0,26.0
73,Mg-025,120250,15.0,27.0
74,Mg-026,120260,15.0,22.0
75,Mg-027,120270,1.0,23.0
76,Mg-028,120280,13.0,20.0
77,Mg-029,120290,1.0,25.0
78,Al-024,130240,1.0,34.0
