nuclide,TENDL-2015,TENDL-2017,TENDL-2019,TENDL-2021,TENDL-2023
H-1,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
H-2,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
H-3,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
He-3,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
He-4,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Li-6,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Li-7,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
B-10,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
B-11,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Be-7,,,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Be-9,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
C-12,JENDL-4.0,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
C-13,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
O-16,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
O-17,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
O-18,,,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
N-14,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
N-15,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
F-19,ENDF/B-VII.1,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Th-232,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
U-233,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
U-235,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
U-238,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
Pu-239,,ENDF/B-VIII,ENDF/B-VIII,JEFF-3.3,ENDF/B-VIII.0
